"tax_id","vers","ocp","tcp.hk","tcp.hhk","tcp.rr","tcp.hrr","tcp.other","tcp.chemotaxis","ecf","other","majormodes_total","chemotaxis.mcp","chemotaxis.chew","chemotaxis.chea","chemotaxis.cher","chemotaxis.cheb","chemotaxis.checx","chemotaxis.chev","chemotaxis.ched","chemotaxis.chez","chemotaxis.other","chemotaxis_total","genome_size","species_tax_id","species","genus","family","order","class","phylum","superkingdom"
2325,"GCF_000763575.1",92,11,NA,16,NA,1,NA,7,9,147,4,2,1,1,1,1,NA,1,NA,NA,11,2397824,2325,"Thermoanaerobacter kivui","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Firmicutes","Bacteria"
61635,"GCF_000967915.1",77,7,1,8,NA,NA,NA,3,4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1877792,61635,"Acholeplasma brassicae","Acholeplasma","Acholeplasmataceae","Acholeplasmatales","Mollicutes","Tenericutes","Bacteria"
35623,"GCF_000953195.1",63,2,1,5,NA,NA,NA,2,4,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1587120,35623,"Acholeplasma oculi","Acholeplasma","Acholeplasmataceae","Acholeplasmatales","Mollicutes","Tenericutes","Bacteria"
339,"GCF_000590375.1",178,31,15,53,3,3,NA,11,14,351,20,6,4,3,7,NA,1,1,1,NA,43,5054308,339,"Xanthomonas campestris","Xanthomonas","Xanthomonadaceae","Xanthomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
358,"GCF_000723345.1",391,34,7,47,1,2,NA,13,25,544,18,2,1,1,1,NA,NA,1,NA,NA,24,6004337,358,"Agrobacterium tumefaciens","Agrobacterium","Rhizobiaceae","Rhizobiales","Alphaproteobacteria","Proteobacteria","Bacteria"
1705,"GCF_001941345.1",117,11,NA,12,NA,NA,NA,5,16,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2862233,1705,"Corynebacterium stationis","Corynebacterium","Corynebacteriaceae","Corynebacteriales","Actinobacteria","Actinobacteria","Bacteria"
85698,"GCF_001457475.1",557,42,9,59,NA,1,NA,31,23,756,24,3,2,1,2,NA,NA,1,1,NA,34,6813182,85698,"Achromobacter xylosoxidans","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
41673,"GCF_003201835.1",91,NA,NA,NA,NA,NA,NA,NA,10,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2947156,41673,"Acidianus brierleyi","Acidianus","Sulfolobaceae","Sulfolobales","Thermoprotei","Crenarchaeota","Archaea"
163359,"GCF_001705075.1",119,13,3,19,2,1,NA,7,12,181,1,2,1,NA,1,NA,NA,NA,NA,NA,5,3252820,163359,"Acidiferrobacter thiooxydans","Acidiferrobacter","Acidiferrobacteraceae","Acidiferrobacterales","Gammaproteobacteria","Proteobacteria","Bacteria"
1765967,"GCF_001975725.1",131,17,2,30,NA,NA,NA,5,15,209,3,2,2,NA,NA,NA,1,NA,1,NA,9,3448835,1765967,"Acidihalobacter ferrooxidans","Acidihalobacter","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","Bacteria"
160660,"GCF_000754095.2",167,22,2,34,NA,4,NA,6,12,277,14,5,3,2,2,NA,1,1,1,1,30,3359675,160660,"Acidihalobacter prosperus","Acidihalobacter","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","Bacteria"
526,"GCF_900156265.1",118,16,5,23,NA,NA,NA,5,16,197,6,1,1,2,3,NA,NA,1,NA,NA,14,3976993,526,"Acidiphilium rubrum","Acidiphilium","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
507754,"GCF_001402945.1",46,1,NA,NA,NA,NA,NA,NA,5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1778901,507754,"Acidiplasma aeolicum","Acidiplasma","Ferroplasmaceae","Thermoplasmatales","Thermoplasmata","Euryarchaeota","Archaea"
312540,"GCF_001402935.1",46,NA,NA,NA,NA,NA,NA,NA,5,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1731076,312540,"Acidiplasma cupricumulans","Acidiplasma","Ferroplasmaceae","Thermoplasmatales","Thermoplasmata","Euryarchaeota","Archaea"
1748,"GCF_001441165.1",176,23,NA,24,NA,NA,NA,6,16,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3651382,1748,"Acidipropionibacterium acidipropionici","Acidipropionibacterium","Propionibacteriaceae","Propionibacteriales","Actinobacteria","Actinobacteria","Bacteria"
343013,"GCF_001298675.1",207,37,7,50,1,7,NA,4,21,374,27,4,2,2,2,NA,NA,1,1,1,40,4190928,343013,"Acidovorax caeni","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
47920,"GCF_001555775.1",153,27,6,34,1,1,NA,11,10,277,15,5,2,4,6,NA,NA,2,NA,NA,34,4007395,47920,"Acidovorax delafieldii","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
32040,"GCF_900112675.1",273,44,12,56,3,3,NA,12,18,469,34,4,2,2,3,NA,NA,1,1,1,48,5077528,32040,"Acidovorax konjaci","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
592050,"GCF_900107605.1",204,27,3,37,NA,2,NA,12,19,307,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,4130223,592050,"Acidovorax soli","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
80878,"GCF_000935585.1",225,35,8,55,2,3,NA,5,23,389,20,3,2,2,2,NA,1,1,1,1,33,4475784,80878,"Acidovorax temperans","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
187868,"GCF_900102625.1",294,42,13,55,3,2,NA,19,16,493,31,6,2,2,4,NA,1,1,1,1,49,5257076,187868,"Acidovorax valerianellae","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
1177982,"GCF_900113035.1",327,46,12,63,4,3,NA,13,16,553,48,6,3,3,3,NA,1,2,1,2,69,5335586,1177982,"Acidovorax wautersii","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
470,"GCF_000746645.1",239,11,3,15,NA,NA,NA,2,12,285,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,4335793,470,"Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
1219383,"GCF_900096955.1",104,10,2,14,NA,NA,NA,3,9,145,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2690205,1219383,"Acinetobacter boissieri","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
471,"GCF_000746375.1",233,15,3,20,NA,NA,NA,4,12,290,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3951709,471,"Acinetobacter calcoaceticus","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
1353941,"GCF_000816495.1",83,12,2,15,NA,NA,NA,1,12,128,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2899785,1353941,"Acinetobacter harbinensis","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
40215,"GCF_001941805.1",140,15,2,17,NA,NA,NA,2,14,193,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3378307,40215,"Acinetobacter junii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
1226327,"GCF_900096895.1",115,11,2,17,NA,NA,NA,2,14,164,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3085401,1226327,"Acinetobacter kookii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
281375,"GCF_900096915.1",134,11,2,16,NA,NA,NA,2,9,177,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2994779,281375,"Acinetobacter marinus","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
519,"GCF_001525545.2",344,20,2,28,NA,1,NA,12,13,432,6,1,1,1,1,NA,NA,1,1,NA,12,4800737,519,"Bordetella parapertussis","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
632955,"GCF_000829675.1",194,13,3,17,NA,NA,NA,9,12,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3961794,632955,"Acinetobacter rudis","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
108981,"GCF_001971565.1",110,13,3,18,NA,NA,NA,2,12,161,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,3268053,108981,"Acinetobacter schindleri","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
487316,"GCF_001953195.1",180,15,3,21,NA,NA,NA,2,9,232,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,3636349,487316,"Acinetobacter soli","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
65497,"GCF_000718005.1",380,36,NA,39,NA,NA,NA,22,18,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6026369,65497,"Actinoalloteichus cyanogriseus","Actinoalloteichus","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
1470176,"GCF_002234535.1",457,44,NA,46,NA,NA,NA,38,17,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6606717,1470176,"Actinoalloteichus hoggarensis","Actinoalloteichus","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
340345,"GCF_001747425.1",473,50,NA,49,NA,NA,NA,35,19,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6306386,340345,"Actinoalloteichus hymeniacidonis","Actinoalloteichus","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
714,"GCF_001594265.1",64,4,1,4,NA,NA,NA,3,12,89,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2367908,714,"Aggregatibacter actinomycetemcomitans","Aggregatibacter","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Proteobacteria","Bacteria"
67855,"GCF_001038205.1",90,4,1,5,NA,NA,NA,2,9,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2457363,67855,"Muribacter muris","Muribacter","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Proteobacteria","Bacteria"
202789,"GCF_001457435.1",61,10,NA,11,NA,NA,NA,1,5,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2065185,202789,"Actinobaculum massiliense","Actinobaculum","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
59505,"GCF_000724605.1",69,9,NA,11,NA,NA,NA,1,6,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2159306,59505,"Actinotignum schaalii","Actinotignum","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
1657,"GCF_900102025.1",62,10,NA,11,NA,NA,NA,1,6,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2200507,1657,"Actinobaculum suis","Actinobaculum","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
35622,"GCF_900099985.1",475,72,2,56,NA,NA,NA,31,24,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5988017,35622,"Thermomonospora chromogena","Thermomonospora","Thermomonosporaceae","Streptosporangiales","Actinobacteria","Actinobacteria","Bacteria"
390989,"GCF_000720965.1",684,66,NA,65,NA,1,NA,57,32,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6947236,390989,"Actinocatenispora sera","Actinocatenispora","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
1193682,"GCF_001940455.1",550,56,2,59,NA,1,NA,37,30,737,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,7453713,1193682,"Actinokineospora bangkokensis","Actinokineospora","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
909613,"GCF_000564855.1",535,58,2,54,NA,1,NA,42,25,719,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,7529476,909613,"Actinokineospora spheciospongiae","Actinokineospora","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
155974,"GCF_900111175.1",489,76,7,71,NA,1,NA,53,26,743,14,1,1,2,1,NA,NA,NA,NA,1,20,7588185,155974,"Actinokineospora terrae","Actinokineospora","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
1993,"GCF_900115095.1",950,137,2,109,NA,2,NA,82,49,1333,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,10255144,1993,"Actinomadura madurae","Actinomadura","Thermomonosporaceae","Streptosporangiales","Actinobacteria","Actinobacteria","Bacteria"
240840,"GCF_900188445.1",758,114,2,89,NA,2,NA,65,40,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8572960,240840,"Actinomadura meyerae","Actinomadura","Thermomonosporaceae","Streptosporangiales","Actinobacteria","Actinobacteria","Bacteria"
46177,"GCF_900109355.1",872,130,2,110,NA,NA,NA,72,45,1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9204326,46177,"Nonomuraea pusilla","Nonomuraea","Streptosporangiaceae","Streptosporangiales","Actinobacteria","Actinobacteria","Bacteria"
1886,"GCF_000719955.1",503,72,2,64,NA,NA,NA,30,31,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7084693,1886,"Streptomyces albidoflavus","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
67267,"GCF_002189675.2",697,98,2,95,1,1,NA,48,33,978,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,9967549,67267,"Streptomyces alboflavus","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
47760,"GCF_001418335.1",768,114,2,94,NA,NA,NA,51,33,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9255252,47760,"Streptomyces aurantiacus","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
59561,"GCF_001469025.1",50,12,NA,13,NA,NA,NA,1,8,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2028874,59561,"Trueperella bernardiae","Trueperella","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
66429,"GCF_000719265.1",478,84,1,72,NA,NA,NA,29,23,687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7205477,66429,"Streptomyces roseoverticillatus","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
284031,"GCF_000725785.1",671,108,1,79,NA,NA,NA,48,42,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8762262,284031,"Streptomyces flavovariabilis","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
1907,"GCF_000761215.1",537,80,3,64,NA,NA,NA,39,30,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7623774,1907,"Streptomyces glaucescens","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
178339,"GCF_001746855.1",68,11,NA,11,NA,NA,NA,2,6,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2141493,178339,"Actinomyces hongkongensis","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
52770,"GCF_001907235.1",96,23,NA,25,NA,NA,NA,3,9,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2521171,52770,"Actinomyces hordeovulneris","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
156892,"GCF_001936115.1",50,9,NA,9,NA,NA,NA,1,9,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1842889,156892,"Actinomyces marimammalium","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
44060,"GCF_000718985.1",378,62,2,47,NA,NA,NA,27,26,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5850061,44060,"Streptomyces megasporus","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
52773,"GCF_001262055.1",64,12,NA,13,NA,NA,NA,2,7,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2049088,52773,"Actinomyces meyeri","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
208480,"GCF_001907295.1",87,16,NA,16,NA,NA,NA,1,9,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2638573,208480,"Actinomyces nasicola","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
1963,"GCF_001514115.1",931,135,2,105,NA,1,NA,76,42,1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11669312,1963,"Streptomyces olivochromogenes","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
544580,"GCF_001553935.1",118,23,NA,26,1,NA,NA,3,9,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3042917,544580,"Actinomyces oris","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
1325934,"GCF_000820725.1",116,16,NA,20,NA,NA,NA,2,11,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2878449,1325934,"Actinomyces polynesiensis","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
1661,"GCF_000612055.1",90,12,NA,13,NA,NA,NA,2,13,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2338390,1661,"Trueperella pyogenes","Trueperella","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
111015,"GCF_001553565.1",99,18,NA,20,NA,NA,NA,2,10,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3051613,111015,"Actinomyces radicidentis","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
131110,"GCF_900106055.1",85,13,NA,14,NA,NA,NA,3,8,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2430293,131110,"Actinomyces radingae","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
332524,"GCF_900103565.1",146,21,NA,24,NA,NA,NA,1,12,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3299427,332524,"Actinomyces ruminicola","Actinomyces","Actinomycetaceae","Actinomycetales","Actinobacteria","Actinobacteria","Bacteria"
67373,"GCF_000718635.1",652,90,2,79,NA,NA,NA,35,30,889,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,8588807,67373,"Streptomyces varsoviensis","Streptomyces","Streptomycetaceae","Streptomycetales","Actinobacteria","Actinobacteria","Bacteria"
485602,"GCF_001921215.1",676,85,1,83,NA,NA,NA,74,41,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9535536,485602,"Actinophytocola xinjiangensis","Actinophytocola","Pseudonocardiaceae","Pseudonocardiales","Actinobacteria","Actinobacteria","Bacteria"
113562,"GCF_900104725.1",831,132,13,116,3,3,NA,66,48,1253,27,4,3,3,3,NA,NA,NA,NA,1,41,10654181,113562,"Actinoplanes derwentensis","Actinoplanes","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
35752,"GCF_900113015.1",873,156,17,139,5,5,NA,74,42,1368,36,7,3,5,5,NA,NA,NA,NA,1,57,10381230,35752,"Actinoplanes philippinensis","Actinoplanes","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
113571,"GCF_000962825.1",838,122,12,104,2,3,NA,45,41,1208,26,4,3,4,3,NA,NA,NA,NA,1,41,10320296,113571,"Actinoplanes rectilineatus","Actinoplanes","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
52697,"GCF_900188005.1",695,128,20,111,1,4,NA,65,41,1100,24,3,2,2,2,NA,NA,1,NA,1,35,10031706,52697,"Actinoplanes regularis","Actinoplanes","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
1869,"GCF_000785985.1",693,136,14,117,3,3,NA,58,45,1122,30,6,4,6,6,NA,NA,NA,NA,1,53,9489843,1869,"Actinoplanes utahensis","Actinoplanes","Micromonosporaceae","Micromonosporales","Actinobacteria","Actinobacteria","Bacteria"
504797,"GCF_900113145.1",378,47,1,47,1,NA,NA,38,43,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6822861,504797,"Actinopolymorpha cephalotaxi","Actinopolymorpha","Nocardioidaceae","Propionibacteriales","Actinobacteria","Actinobacteria","Bacteria"
117157,"GCF_900104745.1",349,49,1,47,1,NA,NA,30,42,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6403669,117157,"Actinopolymorpha singaporensis","Actinopolymorpha","Nocardioidaceae","Propionibacteriales","Actinobacteria","Actinobacteria","Bacteria"
995060,"GCF_900116555.1",317,29,NA,30,NA,NA,NA,22,26,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4924010,995060,"Actinopolyspora righensis","Actinopolyspora","Actinopolysporaceae","Actinopolysporales","Actinobacteria","Actinobacteria","Bacteria"
405564,"GCF_900104475.1",317,25,NA,31,NA,NA,NA,17,24,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5038150,405564,"Actinopolyspora xinjiangensis","Actinopolyspora","Actinopolysporaceae","Actinopolysporales","Actinobacteria","Actinobacteria","Bacteria"
797419,"GCF_900106795.1",65,24,2,27,NA,1,NA,12,17,149,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3535532,797419,"Aequorivita viscosa","Aequorivita","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidetes","Bacteria"
33936,"GCF_001629795.1",197,30,NA,28,NA,2,NA,11,21,310,14,1,1,NA,1,2,1,1,NA,NA,21,3818610,33936,"Aeribacillus pallidus","Aeribacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Bacteria"
87541,"GCF_001543105.1",62,7,NA,8,NA,1,NA,2,12,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1634920,87541,"Aerococcus christensenii","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
119206,"GCF_001543145.1",71,13,NA,12,NA,NA,NA,3,7,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2033849,119206,"Aerococcus sanguinicola","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
371602,"GCF_900176325.1",47,6,NA,6,NA,NA,NA,1,7,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1382195,371602,"Aerococcus suis","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
1376,"GCF_001543175.1",73,8,NA,11,NA,1,NA,2,14,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1974262,1376,"Aerococcus urinae","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
128944,"GCF_001543245.1",58,8,NA,10,NA,NA,NA,2,8,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1831400,128944,"Aerococcus urinaehominis","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
1377,"GCF_001543285.1",72,7,NA,7,NA,NA,NA,2,16,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2199877,1377,"Aerococcus viridans","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
2041,"GCF_001509405.1",185,25,NA,25,NA,1,NA,14,15,266,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3629239,2041,"Aeromicrobium erythreum","Aeromicrobium","Nocardioidaceae","Propionibacteriales","Actinobacteria","Actinobacteria","Bacteria"
